age,description,review,is_recommended,rating_star,review_date,usage_period,purchase_point
19 - 24,"Dry, Medium Light, Neutral","Sunscreen dari zaman SMA, sampe sekarang kalo pas lagi kantong kering. Selalu balik ke ini, gamau yg lain walaupun harganya sama atau bahkan lebih murah. bedanya pas SMA aku gatau kalo pake sunscreen tu 2 jari, jadi dulu pake nya kayak alas bedak gitu dikit2 aja haha. Kelebihannya yang aku rasain selain harga yg murah, isi nya banyak yaitu 40 ml, pas udah meresap muka keliatan lebih sehat, lembab. Kekurangannya, agak lama meresap ke kulit, perih di mata.",yes,4,06/06/22, 1 week - 1 month, Alfamart
19 - 24,"Normal, Medium Light, Neutral","Bagus bgt intinya gamau ganti produk lg wkwkwkwkwk udh cinta bgt sm sunscren ini bnrbnr bikin glowinggg parahhh, lumayan ada efek cerah nya glowing mantul pokoknyaaaaaaaaaaaaaaa!!!!!!!🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰💕💕💕💕💕💕💕💕💕💕💕🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍❤️❤️❤️❤️❤️❤️❤️",yes,5,06/06/22, 1 week - 1 month, Shopee
19 - 24,"Combination, Medium Light, Warm","Coba ss ini karena ss ku abis dan si wardah ini gampang ditemuin di minimarket. Teksturnya gel semi cream gt tapi gak berat, cukup blendable, gak lengket, gak ada wangi yg ganggu, sedikit ada whitecast tapi masih aman. Di kulitku yg acne prone so far dia aman2 aja sih, even banyak yg blg ss ini perih tapi di aku ngga. Tapi minusnya yg bener2 personally aku kurang suka itu bikin kulit kusam.... kayak bikin warna kulit turun beberapa tone gitu🥲 tapi selama pemakaiannya di rumah ya gapapa lah ya dihabisin dulu aja, harganya juga average bgt buat dicoba",yes,3,05/06/22, Less than 1 week, Indomaret
19 - 24,"Combination, Medium Light, Warm","sejauh ini ss fav sih, karena gel gt, ngga white cast, ngga bikin kulit aku berjerawat juga, harga affordable, & teksturnya bleandable juga. biasanya aku susa bgt cocok sama ss. tp sm ss ini cocok & suka. sejauh ini bakal repurchase terus sih🥳🥳",yes,5,05/06/22, 3 months - 6 months, Shopee
19 - 24,"Combination, Light, Neutral","Sunscreen pertama yang aku cobain, karena lihat review orang-orang baguss. Dan bener sihh, kesan pertama waktu kita pake, langsung bikin wajah glowingg meskipun setelah itu dia mate dengan wajah kita. Cuma di wajah aku yang berminyak, pakai produk ini jadi kek ketambahan minyaknya gituu. Tapi buat kalian yg kulitnya kering, baguss banget pakai sunscreen ini🥰",yes,4,05/06/22, 3 months - 6 months, Official Brand Store
30 - 34,"Combination, Medium, Neutral","beli ini krna penasaran dan harganya murah. trus pas udh coba dri review2 nya sih ada yg bilang bikin kusam trus pedih dimata. itu pake nya dicolokin apa gmn bestie 🤣. buat aku sih fine2 aja, dan cepat nyerap enak gk bikin berminyak jg sih mudah bgt di apply nya dan ini harga nya 30rb an bestie so woooww bgt",No,5,04/06/22, Less than 1 week, Traditional market
19 - 24,"Combination, Light, Neutral","tekstur super ringan dan ada sedikit tone upnya di kulit aku. krn wajah ku lagi jerawatan aku lebih suka pakai spf yg ringan begini, tinggal reapply aja kalau ngerasa proteksinya berkurang. selain itu harganya jg affordable dan gampang dicari",yes,5,04/06/22, More than 1 year, Shopee
25 - 29,"Dry, Medium, Neutral","Suka sih sama ini, karna cocok di wajah aku. Mudah diaplikasikan, Gak terlalu lengket juga, ya meskipun ada whitecast tp overall oke. Harga terjangkau ya. Dan aroma nya gak mengganggu. Soalnya ku pernah pake produk lain aroma nya bikin kepala aku pusing.",yes,4,03/06/22, 1 month - 3 months, Shopee
19 - 24,"Dry, Medium Light, Neutral","nyoba byk sunscreen buat kulit acneprone, ujung²nya penasaran lg sm wardah pdhl sblmnya ga cocok. teksturnya suka bgt sih, gel tp ky agak tebel gt jd berasa udah pake sesuatu buat melindungi wajah. ada whitecastnya tp gapapa ttp cinta. didiemin sebentar aja sambil kipas2 nnti jg meresap sendiri, jgn terlalu bnyk digosok karna jg ky peeling gt dan nyakitin kulit. meski awalan pake ngerasa kusam&minyakan bgt, percayalah hasil dr wardah tuh nyata bgt pas kita skincarean malem, muka keliatan lebih cerah sehat gt Masyaallah alhamdulillah. kalo berasa kusam tinggal ditimpa bedak tabur beres kok kusamnya di aku. ohiya ini emg agak perih di mata, jd aku pake ke area matanya tuh sisaan² aja yg ada di tangan. pengen istiqomah pake produk ini deh.. karna lumayan bgtt Ya Allah harganya, aman buat dompet😭❤️ trus pas liat tiktok, sunscreen inituh termasuk yg direkomendasikan oleh dokter kulit juga karna kandungannya yg insyaallah aman. dan aku jg merasakan hasilnya pake wardah ini. repurchased? yeaa!",yes,5,03/06/22, Less than 1 week, Shopee
19 - 24,"Dry, Light, Cool","sunscreen wardah ini lumayan affordable harganyaa ,tapiii sayangnya timbul whitecast untungnya bagus buat melembabkan.. jadi paling buat di rumah aja sih pakenya..ga buat keluar keluar huhuu.. Inget guys,jangan lupa pakai Sunscreen <3",yes,3,02/06/22, 3 months - 6 months, Shopee
18 and Under,"Normal, Light, Neutral","Awal² pake biasa biasa aja di kulitku, feel-nya lengket di kulit & susah diblend, ada whitecastnya. Aku gk cocok pake ini malah jadi bruntusan huhu:'(. Untuk harganya affordable, gk ada salahnya dicoba, sapa tau cocok, Biar halal.",yes,4,02/06/22, Less than 1 week, Whatsapp
18 and Under,"Oily, Medium Light, Neutral","Awal² pake biasa biasa aja di kulitku, feel-nya lengket di kulit & susah diblend, ada whitecastnya. Aku gk cocok pake ini malah jadi bruntusan huhu:'(. Untuk harganya affordable, gk ada salahnya dicoba, sapa tau cocok:D",No,3,02/06/22, 1 week - 1 month, Traditional market
25 - 29,"Combination, Medium, Neutral","abis pake ini muka keliatan kusam dan keliatan berminyak, tapi gapapa bisa ditimpa bedak cuma lama lama jadi beneran berminyaak sedih sih. waktu coba pake 2 ruas jari, pake sunscreen 1 ruas pertamanya ga begitu keliatan kusam dan berminyak tapi ditambah ruas selanjutnya bener bener kusam dan berminyak",No,3,01/06/22, 1 week - 1 month, Shopee
25 - 29,"Combination, Medium Light, Neutral","lumayan ngaruh sih buat ngilangin belang di muka aku karena sering panas panasan naek motor, make ini jadi ngerasa aman aja gitu. dan ini amann buat muka yang sensitif kaya aku. Dia gak lengket sama sekali di muka, cuma minusnya dia jadi ngebuat muka berminyak apalagi kalo pake masker, jadi semakin berminyak. Tapi aku cintaa 🖤",No,4,31/05/22, Less than 1 week, Shopee
19 - 24,",19 - 24","make ini tanpaa cream bnr bnr baaaaagusssbangett dimukaa, teksturr nyaa kaga lengket pada saat di aplikasiiin, bikin wajah jadi cerahh walaupun main siang bolongg, harga nya murce banget, haruss belii di e-commerce kesayangan kaliann",yes,5,30/05/22, 6 months - 1 year, Shopee
30 - 34,"Combination, Medium Light, Warm","pertama kali beli sunscreen, ya, ini. teksturnya putih agak encer, gak menimbulkan white cast. dipake cepet nyerap. aku pake seminggu, jerawatan. brenti dulu buat sembuhin jerawat. pake sekali lagi eh jrwtan lagi dan stop. ",No,1,30/05/22, 1 week - 1 month, Shopee
19 - 24,"Oily, Medium Light, Neutral","Aku ga tau di kalian gimana, cuman sepengalaman aku, aku kurang suka karena yang aku rasakan saat diaplikasikan ke wajah terasa agak panas, saat kena atau hampir mendekati mata itu terasa agak perih, meresap nya lama dan setelah beberapa lama di wajahku jadi tambah berminyak ditambah timbulnya jerawat",No,1,30/05/22, 3 months - 6 months, Alfamart
19 - 24,"Combination, Medium, Neutral",aku kurang tau kalau efek perlindungannya gimana ya tapi aku kurang suka pakai ini karena pas dipake itu baru pake dikit aja udah ada kek putih putih diwajah gitu apalagi kalau pakai 2 jari sesuai anjuran buat pake sunscreen. tapi ya syukurnya ga nimbulin efek macem macem kayak jerawat atau apa itu gaada samasekali sih,No,3,28/05/22, 1 week - 1 month, Alfamart
18 and Under,",18 and Under","awal beli ini karena iseng,pada saat itu aku lg mau cari merk sunscreen lain yang biasa aku pake.tp karena pas ke alfa produknya kosong,terus aku nemu sunscreen merk wardah langsung aku beli tuh. sunscreen ini enak bgt di wajah.teksturnya ringan,cepat meresap dan yang pasti ga bikin muka aku “abu abu”.suka bgt pokoknya sama sunscreen wardah yang ini 🥴 wanginya juga enakk",yes,5,28/05/22, 1 month - 3 months, Alfamart
35 - 39,"Oily, Medium Light, Warm","Buat aku sih kecil2 murah ini merupakan holy grail sunscreen nya akuh. Utk skin tipe muka aku cocoknya memang yg gel. Ini pas bgt. Sempat cari2 brand lain, tp tetep balik ke ini lagi. Dia cepet nyerapnya, dan pas utk dipake di rmh atau klo cuaca lg semu2 mendung gt yg ga panas terik.",yes,5,28/05/22, 1 month - 3 months, Shopee
25 - 29,"Combination, Medium Light, Neutral",Beli produk ini karena lagi flash sale aja jadi coba coba beli. Ternyata pas sampai aku kurang suka. Rasanya kaya berat di wajah dan kurang nyaman karena teksturnya yang kental. Jadi untuk yang oily skin kaya aku kurang cocok. Ya daripada mubazir aku pake di tangan aja kalau pas mau keluar rumah,No,2,28/05/22, 1 week - 1 month, Indomaret
19 - 24,"Combination, Medium, Neutral","Awalnya beli karena liat review org2 yg banyak cocok pakai ini bahkan untuk kulit yg oily sekalipun. So, aku beli dong ya. Cuma pas pakai beneran aku gak nyaman sama sekali. Rasanya thick bgt dan berminyakan parah di mukaku, mana lama bgt meresapnya, jd setelah bener2 meresap baru aku tempelin tisu biar ga minyakan bgt. Asli, kayak kilang minyak mukaku jadinya 🤣 karena sayang dibuang akhirnya aku pakai sampai habis, tapi ya untungnya gak ngasih efek memburuk di muka, cuma bikin kusam aja gara2 minyakan setelah pemakaiannya",No,2,26/05/22, 1 month - 3 months, Shopee
25 - 29,"Combination, Medium, Warm","aku udah abis bertube2, sukak karna dia ga bikin muka aku memburuk, dia efek glownya makkkjrenggg! kl reaplly jg ga bikin gmn2 cuma kadang kl panasnya lagi polll bgt pipi berasajg panas sih. harganya super murah, bisa beli diindomaret terdekat. luv it!",yes,5,26/05/22, 6 months - 1 year, Shopee
19 - 24,"Dry, Medium Light, Neutral","Keracunan tiktok dan instagram :) dari packaging nya sih simple ya, kandungannya juga bagus. Tp sayangnya ga cocok di kulit akuu. Entah mengapaaa, awal pake susah d blend terus jadi abu² di muka pdahal warna kulitku engga gelap bgt. Nah yg sangat menyedihkan lg dia perih di area mata pdhl ak hanya pake secukupnya. Sekiann",No,1,26/05/22, 1 week - 1 month, Instagram
19 - 24,"Oily, Light, Warm","Saya tidak akan bahas terkait ingredients pada produk Wardah SPF 30 PA+++ ini. Saya hanya akan berbagi bagaimana oily-acne-prone-skin saya terlihat dan bereaksi terhadap sunscreen ini. Saya menggunakan produk ini setiap pagi dan reapply setiap jam 1 siang dan jam 4 sore.(1). Pagi hari saat diapply di atas moisturizer saya (Cerave Moisturizing Cream / Vanicream Daily Facial Moisturizer), sunscreen ini takes my 5 mins hanya untuk blend dan takes around 3 mins untuk benar2 kering dan finish di wajah saya. Banyak yang bilang finishingnya akan glowy. Tetapi di kulit saya, finishing nya lebih ke greasy shiny seperti habis olahraga. Padahal saya baru mandi. You won't look fresh with this sunscreen deh pokoknya. So dear my oily skin girls, run away from this sunscreen.(2). Saat reapply di siang dan sore hari, saya kira sunscreen ini tidak akan se-shiny kalau diapply di atas moisturizer. Ternyata sama saja.(3). Setelah menggunakan sunscreen ini, pori-pori saya banyak tersumbat dan menimbulkan banyak beruntusan dan cystic acne di jidat dan di pipi.Saya senang menggunakan produk lainnya dari brand Wardah dan saya yakin brand ini telah bekerja keras untuk menghasilkan skincare terbaik. Saya harap kedepannya formula sunscreen ini dapat ditingkatkan lagi. ",No,1,25/05/22, 1 month - 3 months, Indomaret
18 and Under,"Dry, Medium, Neutral","ga mau review formulasinya, cuma mau bahas feelnya pas make sunscreen ini. teksturnya cream thick warna putih. buat 2 jari, dia berat. ngeblendnya harus ditabok-tabok dulu ini muka baru mau rata. yaaa kalau make sunscreen ini pas mau berangkat sekolah siap siap telat aja. udah pasti makan waktu sih soalnya. mau muka lembab atau engga pun juga tetep lama ngeblendnya. pas udah rata finishnya satine. bagus. di mata perih. murah sih tapi mending beli ss lain aja krn menurutku kurang worth it apalagi banyak sunscreen lain yang harganya juga murah. suka semua product wardah, pengecualian buat sunscreennya yang ini.",No,2,23/05/22, Less than 1 week, Gift
25 - 29,"Dry, Medium, Warm","love hate banget sih ini. aku suka karena packagingnya travel friendly, dan ga ada bau yang nyengat. but, aku coba yg pertama kalinya dan aku suka teksturnya tapi kenapa ya kok bkin kulit aku jadi kusem 😩😩 dan dia susah di blend, bkin dempul dan perih banget woy kalo kena mata. Gak mau repurchase lagi dulu sih, masih banyak sunsscreen low budget lainnya yg pengen dicobaa.",yes,3,22/05/22, Less than 1 week, Brand website
18 and Under,"Dry, Medium, Neutral","pertama kali nyoba baru beberapa hari, udah ga cocok dimuka krn bikin kata perih pake bangett sempet merah gitu di mata. trs bikin kusem dekil bangett 💔💔💔 buat muka ku ga rekomen bangett. ada white cast nya trs susah diaplikasikan. teksturnya jg kurang oke buat muka kering",No,2,22/05/22, Less than 1 week, Official Brand Store
19 - 24,"Dry, Medium Light, Neutral",Aku pernah pakai Wardah ini sebenernya karena kepepet wkkw. tapi pas dipake lumayan bagus. karena aku kulitnya keringgak tahu kenapa pakai ini kaya agak keliatan kusen tapi calm banget sihhh. cuman karena masih pengen explore sunscreen lain jadi aku ga repurchase lagi,No,4,22/05/22, 1 month - 3 months, Shopee
18 and Under,"Combination, Medium Light, Cool","Yg reformula lebih enak dibanding yg lamaa. Spf nya juga meningkat dari 30 jadi 35, lebih gampang diratain (karna yg reformula teksturnya gel sedangkan yg lama teksturnya lotion thick) ga kerasa berat di kulit beda bgt sm yg spf 30. Yg spf 30 berat, berminyak dan bikin kusam di aku😢. Tapi yg reformula (spf 35) ini enggaa, malah keliatan natural glowing nya, ga bikin kusam selama pemakaian, no whitecast jugaa✨. Teruss di ingredient nya ada vit c nyaa. Di kulitku terkadang kerasa matte tapi glowy (klo pagi aku cuma pke fw terus ss) setelah beberapa jam ga terlalu bikin minyakan. Ga perih di mata, wanginya juga masih mirip-mirip sama yg spf 30. Minusnya selama pemakaian aku ngerasa area sekitar hidung dan dahi jadi lebih gampang berkeringat🥲. Untuk isi dan harganya kurang lebih masih sama kya yg lama 40ml sekitar 30rb an✨",yes,5,22/05/22, 1 month - 3 months, Indomaret
25 - 29,"Combination, Medium Light, Neutral","Hallo, sayang banget untuk produk wardah sunscreen yang ini ga cocok di kulit saya yang kombinasi, muncul jerawat di bagian dahi dan bikin kulit kusam pas siang harinya. Good luck Wardah. Untuk teksturnya si sangat OK, packaginya juga OK, aroma OK. Sebenarnya inovasi yang OK dalam bentuk gel, cuma sayang banget aja, produknya ga cocok di saya. :)",No,2,21/05/22, 1 month - 3 months, Dan+Dan
19 - 24,"Oily, Medium, Warm","Sunscreen kedua yang aku coba, but still doesn't work on me apparently. Waktu di apply dia wanginya cukup enak sih, buildable juga jadi memudahkan pemakaian. Bikin lembab juga. Dari texturenya aja udah keliatan banget dia cukup oily, dan pas udah dipake emang dia ada whitecast dan bikin muka aku berminyak. I can't wear this without any makeup. Waktu aku pake ngga bikin jadi ada jerawat atau apa sih, tapi minyaknya aja agak ganggu huhu",No,2,21/05/22, 3 months - 6 months, Transmart
18 and Under,"Normal, Medium Light, Neutral","kurang cocok dipake ke kulitku sih karena menimbulkan whitecast dan komedo terus kulit jdi lebih kusam gitu (?) numbuh jerawat juga, kalau dipake lama nanti bikin kulit keliatan berminyak kaya hinyai (?) gituu, harganya murahh, cuman jarang aku pake karena nimbulin whitecast dan komedo hehehe",No,3,19/05/22, 1 month - 3 months, Shopee
19 - 24,"Normal, Medium Light, Cool","fyi, kulitku tipe yg sensitif dan ga gampang cocok sm bbrp produk, (skintype: normal to dry), setelah coba banyak merk akhirnya nemu sunscreen yg cocok dikulitku, aku dah abis banyak tube btw hehe. sunscreen ini bentuknya gel, no white cast, ga begitu lengket, dan yg paling kusuka tuh dia ngasih glow finish. entah ini sugesti atau beneran, setelah aku rutin pake ss ini bikin kulitku makin lembab dan cerahan. buat yg punya tipe kulit kaya aku bisa cobain sih.",yes,5,19/05/22, 3 months - 6 months, Indomaret
19 - 24,"Combination, Medium Light, Warm","Sejauh ini pake sunscreen ini mantul poll .. bikin glowing trus belangnya jadi hilang asalkan di re-apply 2 jam sekali .. trus juga kalau ditimpa makeup, make-upnya jadi tahan lama dan lebih meresap sii",yes,5,18/05/22, More than 1 year, Shopee
19 - 24,"Oily, Medium, Neutral","dari semua sunscreen wardah aku paling suka yang ini dan udah repercist beberapa kali, pokoknya aku paing cocok sama yg ini selain ringan muka juga jadi glowing dan ngaruh banget ke bekas jerawat aku yg mulai kehitaman karena terik matahari",yes,5,18/05/22, 6 months - 1 year, Whatsapp
19 - 24,",19 - 24",aku ga suka banget sama produk yang lengket tp ini enak banget ga lengket sama sekali dan nyerepnya cepet sekaligus ngelembabin muka aku! aku biasanya kalo pake sunscreen tuh selalu makin berminyak tp pake ini minyak aku jadi kekontrol berasa lembab gitu! ,yes,5,18/05/22, 6 months - 1 year, Hypermart
19 - 24,"Normal, Medium Light, Cool","jadii ini sunscreen pertama aku di dunia persunscreen an yaa guys hahaa , kata orang orang ss inii susah di bland di muka tp di muka aku biasa aja ah iyasii agak susah dikit tp ga ampe pake tenaga jg kok bland nyaaa wkwkwk bikin muka jd lembab bgtt sumpah ini yg muka nya kering cocok sii pake ini",yes,5,17/05/22, 3 months - 6 months, Shopee
19 - 24,"Oily, Medium, Neutral",Buat yang kulitnya oily kaya aku ini kurang cocok bgt soalnya malah nambah berminyak banget and lengket ++ kusam. Ini kurang oke banget trs meninggalkan white cast dan dia teksturnya cream gitu.buat kalian yang oily dan berjerawat lebih baik pakai product sunscreen wardah yg tektur nya gel deh,No,1,17/05/22, 1 week - 1 month, Traditional market
25 - 29,"Combination, Medium Dark, Warm","kayanya hampir setiap bulan aku repurchase si wardah yg formula baru ini krn emg lebih enak formulanya dibanding yg lama, kalo yg dulu tuh kerasa berat bgt dimuka dan bahkan baru sejam aja udh bikin muka berminyak, pokoknya ngga banget huhu. harganya juga lumayan murah buat aku yg boros ss krn mesti sering reapply. minusnya dia tetep bikin greasy di aku cuma ga separah yg lama. bikin kusam dan whitecast juga, tp krn pemakaian cuma buat dirumah, aku ga masalah sih.",No,3,14/05/22, More than 1 year, sociolla
19 - 24,"Dry, Medium, Neutral","Menurutku sunscreen wardah 30+ ini ngga cocok di aku karena ninggalin whitecast (aku memang nyari produk sunscreen yang ngga ninggalin whitecast). Kalau dipakai dalam jangka waktu lama, sunscreennya berasa berminyak di wajah jadi terasa kurang nyaman.",No,3,14/05/22, 1 week - 1 month, Punya Mama
19 - 24,"Combination, Medium Light, Neutral","Udah bertahun2 pake sunscreen wardah ini, suka banget, nyaman dipake di mukanya, ga bikin gerah gitu,terus gampang menyerap ke muka,ga bikin muka keputihan juga, harga terjangkau, gampang ditemuin juga di minimarket, recomended buat yg jenis kulitnya kombinasi kaya aku ❤️",yes,5,13/05/22, More than 1 year, Indomaret
19 - 24,"Normal, Medium Light, Neutral","muka jadi agak panas, setelah pemakaian. awalnya mikir karena cuaca dan produk yg diambil kebanyakan, besoknya aku kurangi takarannya, tapi di muka tetep ngerasa panas dan merah merah, padahal kata temen temen bagus dan banyak yg pake",No,2,13/05/22, 1 week - 1 month, Shopee
19 - 24,"Combination, Light, Neutral","Salut sama wardah yang bisa provide sunscreen yang safe untuk kulit “Fungal Acne” prone. Sunscreen ini bentuknya agak creamy gitu, teksturnya mendekati light, pas di blend di wajah terasa lembab, enggak ada whitecast juga. Free from alcohol juga. Minusnya sunscreen ini sepertinya kurang cocok untuk oily skin karena akan membuat muka makin berminyak setelah 1-2 jam pemakaian. Masih sedikit ninggalin efek kusam di kulit aku tapi karena aku fokusnya untuk daily protect yang enggak banyak aktivitas luar jadi no problem.",yes,4,11/05/22, More than 1 year, Shopee
18 and Under,"Oily, Medium, Cool","pake ini karena udah bingung mau coba sunscreen mana lagi karena gaada yang cocok,liat review nya si ga yakin karena banyak yang bilang nambah jerawat,tapi setelah aku nyobain gaada efek buruk di muka aku baik jerawat maupun beruntusan itu gaada dan di aku ga bikin mata perih minusnya cuma dia bikin kusam aja si",yes,4,11/05/22, Less than 1 week, Shopee
18 and Under,"Oily, Medium Light, Neutral","suncreen ini awal nya gak cocok sama aku nimbulin beberapa jerawat mendem kecil"" ,tapi karna aku nekat aku coba terus and cocok di aku sampai sekarang pake,untuk tekstur nya dia gel cream cepat menyerap and yang paling aku suka dia bikin glow gitu.love it😍!",yes,4,10/05/22, 3 months - 6 months, Hypermart
18 and Under,"Normal, Medium, Neutral",sebenernya ini sunscreen kurang rekomen karna emang tekstur nyaa agak lengket gitu jadi agak susah buat di blend di muka tapi sunscreen ini emang bikin muka gua jadi cerah gitu somehow terus juga harga nya bener bener murah pake banget jadi buat kalian yang on budget ini cocok buat kalian,yes,5,09/05/22, 1 week - 1 month, Shopee
25 - 29,"Oily, Light, Neutral","kemasannya tube mungil gampang banget di bawa kemana mana, untuk wangi dia masih di bilang minim dan yang aku kecewa adalah dia susah di blend lama banget nyerepnya dan dia agak perih kalo di apply di area deket mata mungkin itu yang gak aku suka dari produk ini. tapi dia termasuk sunscreen yang ringan dan gak lengekt",yes,3,09/05/22, 1 month - 3 months, Guardian
18 and Under,"Combination, Medium Light, Neutral","Teksturnya gel thick yang sulit di blend, butuh waktu. Hasilnya bikin kulit aku keliatan berminyak, dan kadang di beberapa daerah wajah suka peeling, ngga mau nempel di kulit wajah aku. Pas kena daerah mata walau cuma sedikit pun, perih banget. Apalagi kalau lagi pake sunscreen ini lalu nangis atau mata ber-air, siap² nahan perihnya. Kadang perihnya ngga ilang² dan terpaksa aku bawa tidur atau aku bersihin pakai micellar water biar ngga perih lagi :(",No,3,08/05/22, 1 month - 3 months, Shopee
19 - 24,"Combination, Medium Light, Neutral","Rada kurang sih, cuma buat harga segini beneran terjangkau. Pakenya kalau kebanyakan jadi whitecast:( terus harus cepet cepet di apply nanti mukanya jadi abu😭 apply deket mata harus hati hati karena rada perih. Dan yang aku suka sih tanpa alkohol. Cuma emang rada berminyak apa lagi kalo keluar rumah",No,4,07/05/22, 1 month - 3 months, Shopee
18 and Under,"Combination, Medium, Neutral","ini sunscreen terlama kedua setelah emina. cuma lama lama aku ga tahan karna berminyak banget 😅. whitecast nya dikittt, setelah bbrp saat juga ilang kok whitecastnya. lama bgt 'set' nya. dan berminyak buanget dimuka bahkan sampe seharian. akhirnya aku pun ganti ss",No,3,05/05/22, Less than 1 week, Shopee
18 and Under,"Dry, Medium Light, Neutral","ini adalah sunscreen yang sering aku gunakan, memang pas dipake ke muka pasti keik putih banget muka, karena whitecast nya thick banget kataku diproduk ini, tapi sekitar 15-30 menit bakal ilang efek whitecast nya, ini cocok untuk yang suka pake sunscreen dan dirumah aja, cuman kekurangannya kalo dipke dimuka keik berminyak banget, but i still love it",yes,4,05/05/22, 3 months - 6 months, Indomaret
19 - 24,"Normal, Medium Light, Neutral","dia teksturnya agak thick di aku, gak bikin kuning gitu, ngelembabin banget, tapi agak ada whitecastnya dikit, agak butuh waktu buat nge'set' di muka, tapi kata aku ini lebih cakep daripada sunscreen wardah tube orange yg spf 50",yes,4,28/04/22, 1 week - 1 month, Alfamart
19 - 24,"Normal, Medium, Neutral","Halo!! aku mau review Wardah SPF 30 PA+++ UV Shield Essential Sunscreen Gel, sekiranya sekitar 6 bulan pemakaian. FYI, SS ini 0% alcohol, vit rich (vit e & profit B5), light texture, broad spectrum protection, UVA/UVB & blue light. Awal apply diwajah terasa sticky, tapi setelah beberapa menit pemakaian rasanya ringan gak berat dan gak white cast. Wanginya harum. Harga under 35 ribuan. Cocok banget buat normal/dry skin, oily skin gak disarankan. Repurchased? tentu. Rating 8,5/10. @sa.mlyntii",yes,5,27/04/22, Less than 1 week, Shopee
18 and Under,",18 and Under","Awalnya bikin wajah kusam dan makin berminyak, sempat berhenti pakai sekitar satu atau dua bulan gitu. Terus aku coba"" lagi pake, emang masih bikin minyakan waktu itu, tapi aku pakai terus jadinya bagus di muka, bikin cerahan dan hilangin bekas"" jerawat juga.Repurchase? Yesss, tapi kapan"" aja, soalnya mau explore dulu hahaha.",yes,4,27/04/22, 3 months - 6 months, Alfamart
19 - 24,"Oily, Medium, Neutral","sukak banget sama sunscreennya, cocok di kulit aku yg berjerawat alhamdulillah dan gak bikin tumbuh jerawat, emang agak lama si untuk diblandnyaa tapii pas udah rata di wajah bikin keliatan kulit sehat glowing gitu.. itu yg bikin aku suka dan harganyaa murah bangetttt. best banget emangg",yes,5,27/04/22, 6 months - 1 year, Shopee
19 - 24,",19 - 24","Suncrin wardah ini cocok banget sama aku dimana dulu muka aku sangat kusam dan banyak jerawat sekarang mulai menghilang tu kerawat nya muka pun udah mulai agak bersih fixs aku suka banget sama produk dari wardah ini harga nya juga terjangkau ga mahal""amat cuman 30 ribuan",yes,5,26/04/22, 1 week - 1 month, FD Flash Sale
25 - 29,"Combination, Light, Cool","Kemasan oke, harga juga murce tapi sayang banget aku ga cocok karena gatau kenapa jd jerawatan dan jd berminyak banget, akhirnya aku stop pemakaiannya dan dipakai buat badan aja kalo lagi keluar, tp untuk  buat muka ga akan pakai lagi deh;( sorry",No,2,24/04/22, 1 week - 1 month, Guardian
19 - 24,"Combination, Medium, Warm",Solusi buat yg kulit nya suka rewel pake spf 50++ menurut ku sih ini rekomen buat kalian. Textrure gel berwarna putih ga nimbulin whitecast cuman kali ditimbal sama base makeup agak pilling. Aromanya aku ga suka cium hehe dan ini buat kulitku agak kusam jadi agak kurang suka pake ini,yes,4,24/04/22, 1 week - 1 month, Shopee
19 - 24,"Dry, Medium, Warm","pake ss ini di combine sama vit c!! beh mantulll bikin glowinggg dan mudari bekas jerawat serta mencerahkan kulit walaupun ga wow banget, aku suka sih ringan jg enak dipakai kalau lagi di rumah aja. tapi kenapa ya lama kelamaaan bikin kusam gt pas pake ini huhu jadi aku masih mencari sunscreen yg ga bikin kusam setelahnya",yes,5,23/04/22, 3 months - 6 months, Shopee
25 - 29,"Combination, Medium, Warm","murah!wkwk emang gak terlalu ringansih. tapi kalo buat diem dirumah aja tuh lumayan banget. daripada gak pake sunscreen yakan. kadang kalo ada perlu keluar baru deh kalian pake sunscreen yg enteng dan ga berminyak. nah kalo wardah ini cocoknya buat kamu males2an di kamar, ruangan ac. buat bulan puasa cocok banget sih wkwk soalnya kulit kita kering banget pasti kan",yes,5,21/04/22, 1 month - 3 months, Indomaret
19 - 24,"Oily, Medium, Warm","Wardah Spf 30 ini memiliki kemasan berwarna kuning dengan tekstur gel putih dan ketika digunakan sedikit menimbulkan white cast jika penggunaannya terlalu banyak, produk ini di kulit berminyak harus di set menggunakan bedak agar matte, dan setelah digunakan beberapa waktu malah timbul jerawat besar. Tapi bisa saja di jenis kulit yang lain atau individu yang lain hasilnya bisa saja berbeda.",yes,3,20/04/22, 1 month - 3 months, Traditional market
19 - 24,"Normal, Medium Light, Cool","sebenernya ini sunscreen bagus sih, ngelembapin ada, bikin glowing iya, wanginya juga enak bgt menurutku kaya bau sabun bayi. ga nimbulin efek negatif di aku. cuma aku kurang suka karna dia bikin lengket dijari tiap mau pakai dan reapply lg 😭",No,3,20/04/22, 1 week - 1 month, Traditional market
19 - 24,"Dry, Medium, Neutral","Di kulitku yang kering ini cocok2 aj. Ada white case, tapi klo di diamkan 10 menit aj udah hilang. aku udah repurchase berkali-kali dan tidak menimbulkan jerawat. Aku pake sunscreen ini di rumah dan untuk reaply.",yes,4,20/04/22, 1 month - 3 months, Alfamart
